serial,year,district,area,rent,pop_now,pop_prev,pop_2yr_ago,airbnb_now,airbnb_prev,airbnb_2yr_ago,airden_now,airden_prev,airden_2yr_ago,popden_now,popden_prev,popden_2yr_ago,adp_now,adp_prev,adp_2yr_ago
144,2021,Sile,781.72,3342,41627,37904,37692,122,111,70,0.00293079,0.00292845,0.00185716,53,48,48,0.293079,0.292845,0.185716
145,2021,Silivri,869.52,2486,209014,200215,193680,27,29,34,0.00012918,0.00014484,0.00017555,240,230,223,0.012918,0.014484,0.017555
146,2021,Sisli,34.8,6928,284294,266793,279817,"1,888","1,921","1,536",0.00664101,0.00720034,0.0054893,8169,7666,8041,0.664101,0.720034,0.54893
147,2021,Sultanbeyli,29.1,2188,349485,343318,336021,8,11,9,0.00002289,0.00003204,0.00002678,12010,11798,11547,0.002289,0.003204,0.002678
148,2021,Sultangazi,36.3,2317,543380,537488,534565,12,9,6,0.00002208,0.00001674,0.00001122,14969,14807,14726,0.002208,0.001674,0.001122
149,2021,Tuzla,123.63,3092,284440,273608,267396,43,52,38,0.00015117,0.00019005,0.00014211,2301,2213,2163,0.015117,0.019005,0.014211
150,2021,Umraniye,45.31,3501,726758,713803,710280,120,101,89,0.00016512,0.0001415,0.0001253,16040,15754,15676,0.016512,0.01415,0.01253
151,2021,Uskudar,35.33,4837,525395,520771,531825,269,199,219,0.000512,0.00038213,0.00041179,14871,14740,15053,0.0512,0.038213,0.041179
152,2021,Zeytinburnu,11.59,5260,293839,283657,293574,54,64,53,0.00018377,0.00022562,0.00018053,25353,24474,25330,0.018377,0.022562,0.018053
153,2022,Arnavutkoy,506.55,5458,326452,312023,296709,97,40,33,0.00029713,0.0001282,0.00011122,644,616,586,0.029713,0.01282,0.011122
154,2022,Atasehir,25.2,11865,423127,427217,422594,478,197,194,0.00112968,0.00046112,0.00045907,16791,16953,16770,0.112968,0.046112,0.045907
155,2022,Avcilar,42.01,8265,452132,457981,436897,248,126,123,0.00054851,0.00027512,0.00028153,10762,10902,10400,0.054851,0.027512,0.028153
156,2022,Bagcilar,22.36,8295,740069,744351,737206,638,258,156,0.00086208,0.00034661,0.00021161,33098,33289,32970,0.086208,0.034661,0.021161
157,2022,Bahcelievler,16.62,7977,594350,605300,592371,358,119,68,0.00060234,0.0001966,0.00011479,35761,36420,35642,0.060234,0.01966,0.011479
158,2022,Bakirkoy,29.64,17733,226684,228759,226229,267,129,113,0.00117785,0.00056391,0.00049949,7648,7718,7633,0.117785,0.056391,0.049949
159,2022,Basaksehir,104.3,11602,514900,503243,469924,383,201,216,0.00074383,0.00039941,0.00045965,4937,4825,4506,0.074383,0.039941,0.045965
160,2022,Bayrampasa,9.61,8068,275314,274884,269950,52,15,7,0.00018888,0.00005457,0.00002593,28649,28604,28091,0.018888,0.005457,0.002593
