#,Year,District,Area (sqkm),Rent,Population (t),Population (t-1),Population (t-2),Airbnb (t),Airbnb (t-1),Airbnb (t-2),AirDen (t),AirDen (t-1),AirDen (t-2),PopDen (t),PopDen (t-1),PopDen (t-2)
125,2021,Basaksehir,104.3,"5,060","503,243","469,924","460,259",201,216,197,0.000399,0.000460,0.000428,"4,825","4,506","4,413"
126,2021,Bayrampasa,9.61,"2,907","274,884","269,950","274,735",15,7,8,0.000055,0.000026,0.000029,"28,604","28,091","28,588"
127,2021,Besiktas,18.01,"11,305","178,938","176,513","182,649",778,733,767,0.004348,0.004153,0.004199,"9,935","9,801","10,142"
128,2021,Beykoz,310.36,"5,837","248,595","246,110","248,260",75,52,50,0.000302,0.000211,0.000201,801,793,800
129,2021,Beylikduzu,37.78,"4,920","398,122","365,564","352,412",86,74,62,0.000216,0.000202,0.000176,"10,538","9,676","9,328"
130,2021,Beyoglu,8.91,"6,835","233,322","226,396","233,323","4,267",4010,3678,0.018288,0.017712,0.015764,"26,187","25,409","26,187"
131,2021,Buyukcekmece,157.72,"4,066","269,160","257,362","254,103",83,68,75,0.000308,0.000264,0.000295,"1,707","1,632","1,611"
132,2021,Catalca,1040.38,"2,033","76,131","74,975","73,718",18,15,9,0.000236,0.000200,0.000122,73,72,71
133,2021,Cekmekoy,148.16,"2,841","288,585","273,658","264,508",20,22,17,0.000069,0.000080,0.000064,"1,948","1,847","1,785"
134,2021,Esenler,18.43,"2,574","447,116","446,276","450,344",6,5,7,0.000013,0.000011,0.000016,"24,260","24,215","24,435"
135,2021,Esenyurt,43.13,"3,332","977,489","957,398","954,579",472,482,342,0.000483,0.000503,0.000358,"22,664","22,198","22,133"
136,2021,Eyupsultan,228.42,"5,812","417,360","405,845","400,513",105,112,99,0.000252,0.000276,0.000247,"1,827","1,777","1,753"
137,2021,Fatih,15.59,"3,464","382,980","396,584","443,090","1,311",1184,1117,0.003423,0.002985,0.002521,"24,566","25,438","28,421"
138,2021,Gaziosmanpasa,11.76,"4,298","493,096","487,778","491,962",71,49,41,0.000144,0.000100,0.000083,"41,930","41,478","41,834"
139,2021,Gungoren,7.21,"3,269","283,083","280,299","289,441",20,22,24,0.000071,0.000078,0.000083,"39,263","38,876","40,144"
140,2021,Kadikoy,25.09,"7,327","485,233","481,983","482,713","1,003",826,815,0.002067,0.001714,0.001688,"19,340","19,210","19,239"
141,2021,Kagithane,14.87,"4,042","454,550","442,415","448,025",224,262,205,0.000493,0.000592,0.000458,"30,568","29,752","30,129"
142,2021,Kartal,38.54,"3,597","480,738","474,514","470,676",97,81,89,0.000202,0.000171,0.000189,"12,474","12,312","12,213"
143,2021,Kucukcekmece,37.54,"3,855","805,929","789,632","792,820",76,83,73,0.000094,0.000105,0.000092,"21,469","21,034","21,119"
144,2021,Maltepe,52.97,"4,130","525,566","515,021","513,316",145,130,137,0.000276,0.000252,0.000267,"9,922","9,723","9,691"
145,2021,Pendik,179.99,"2,898","741,895","726,481","711,894",98,83,64,0.000132,0.000114,0.000090,"4,122","4,036","3,955"
146,2021,Sancaktepe,62.42,"2,830","474,668","456,861","436,733",22,20,23,0.000046,0.000044,0.000053,"7,604","7,319","6,997"
147,2021,Sariyer,151.3,"14,627","349,968","335,298","347,214",162,160,146,0.000463,0.000477,0.000420,"2,313","2,216","2,295"
148,2021,Sile,781.72,"3,342","41,627","37,904","37,692",122,111,70,0.002931,0.002928,0.001857,53,48,48
149,2021,Silivri,869.52,"2,486","209,014","200,215","193,680",27,29,34,0.000129,0.000145,0.000176,240,230,223
150,2021,Sisli,34.8,"6,928","284,294","266,793","279,817","1,888",1921,1536,0.006641,0.007200,0.005489,"8,169","7,666","8,041"
151,2021,Sultanbeyli,29.1,"2,188","349,485","343,318","336,021",8,11,9,0.000023,0.000032,0.000027,"12,010","11,798","11,547"
152,2021,Sultangazi,36.3,"2,317","543,380","537,488","534,565",12,9,6,0.000022,0.000017,0.000011,"14,969","14,807","14,726"
153,2021,Tuzla,123.63,"3,092","284,440","273,608","267,396",43,52,38,0.000151,0.000190,0.000142,"2,301","2,213","2,163"
154,2021,Umraniye,45.31,"3,501","726,758","713,803","710,280",120,101,89,0.000165,0.000141,0.000125,"16,040","15,754","15,676"
